Mã loại xe      | Tên loại xe          
0               | Xe Thuong            
1               | Xe VIP               
2               | Xe Hop Dong          
---------------------------
Tổng: 3.

Mã TX   | Biển KS         | Tên tài xế                       | Loại xe       
        3960             3 |                99 |  1,467,000
        3961             7 |              72.1 |  1,063,500
        3962            17 |              49.8 |    729,000
        3963            19 |              40.8 |    594,000
        3964            12 |              78.4 |  1,158,000
        3965             8 |              32.2 |    465,000
        3966            15 |              12.1 |    163,500
        3967            12 |              71.7 |  1,057,500
        3968             7 |              62.1 |    913,500
        3969            13 |              22.8 |    324,000
        3970            17 |                20 |    282,000
        3971            15 |               2.6 |     21,000
        3972            15 |               4.7 |     52,500
        3973             3 |                46 |    672,000
        3974             1 |              56.2 |    825,000
        3975            11 |              39.8 |    579,000
        3976            14 |              16.5 |    229,500
        3977            13 |              42.4 |    618,000
        3978            19 |              37.9 |    550,500
        3979            17 |              57.8 |    849,000
        3980             4 |              19.2 |    270,000
        3981            17 |              43.8 |    639,000
        3982            11 |              80.4 |  1,188,000
        3983            19 |              94.2 |  1,395,000
        3984            14 |              24.3 |    346,500
        3985            14 |              82.8 |  1,224,000
        3986            13 |              87.6 |  1,296,000
        3987            19 |              60.6 |    891,000
        3988            13 |              45.7 |    667,500
        3989            15 |              19.6 |    276,000
        3990            16 |              35.7 |    517,500
        3991            13 |                31 |    447,000
        3992            12 |                47 |    687,000
        3993            13 |              49.9 |    730,500
        3994             2 |              96.5 |  1,429,500
        3995             3 |              28.3 |    406,500
        3996            11 |              18.1 |    253,500
        3997             1 |              88.7 |  1,312,500
        3998            12 |              62.3 |    916,500
        3999             1 |              15.1 |    208,500
        4000            15 |              66.4 |    978,000
        4001            13 |              16.2 |    225,000
        4002             1 |              29.1 |    418,500
        4003            13 |              15.4 |    213,000
        4004            18 |              29.9 |    430,500
        4005             1 |              25.9 |    370,500
        4006            14 |              47.7 |    697,500
        4007             1 |              30.6 |    441,000
        4008            16 |              20.9 |    295,500
        4009             2 |              78.9 |  1,165,500
        4010            17 |              16.1 |    223,500
        4011             4 |                 3 |     27,000
        4012             4 |               6.6 |     81,000
        4013            11 |              40.3 |    586,500
        4014            14 |              16.2 |    225,000
        4015             5 |              57.9 |    850,500
        4016             4 |              93.9 |  1,390,500
        4017            20 |              36.2 |    525,000
        4018             2 |              49.2 |    720,000
        4019             3 |              19.7 |    277,500
        4020             5 |              29.5 |    424,500
        4021             3 |              95.5 |  1,414,500
        4022             6 |              91.8 |  1,359,000
        4023             2 |               7.5 |     94,500
        4024             8 |               5.9 |     70,500
        4025            13 |              40.6 |    591,000
        4026            18 |              31.9 |    460,500
        4027             4 |              71.6 |  1,056,000
        4028            20 |              79.9 |  1,180,500
        4029             4 |              81.1 |  1,198,500
        4030             8 |              65.6 |    966,000
        4031             3 |              65.3 |    961,500
        4032            19 |              13.8 |    189,000
        4033            15 |               4.7 |     52,500
        4034            11 |              82.1 |  1,213,500
        4035            12 |              40.9 |    595,500
        4036             7 |              67.7 |    997,500
        4037            19 |              70.2 |  1,035,000
        4038            12 |              43.3 |    631,500
        4039            12 |              69.1 |  1,018,500
        4040            15 |              29.1 |    418,500
        4041             4 |              98.4 |  1,458,000
        4042            10 |              13.3 |    181,500
        4043            20 |              56.2 |    825,000
        4044             7 |              21.9 |    310,500
        4045            13 |              81.6 |  1,206,000
        4046            18 |              61.8 |    909,000
        4047             9 |              52.3 |    766,500
        4048             9 |              31.7 |    457,500
        4049             6 |              42.6 |    621,000
        4050            15 |              53.6 |    786,000
        4051            20 |              34.5 |    499,500
        4052             8 |              67.2 |    990,000
        4053            19 |               2.3 |     16,500
        4054             3 |              13.5 |    184,500
        4055             1 |              80.7 |  1,192,500
        4056            15 |              35.5 |    514,500
        4057            18 |                87 |  1,287,000
        4058            19 |               9.8 |    129,000
        4059            10 |              74.3 |  1,096,500
        4060             8 |                96 |  1,422,000
        4061            15 |                11 |    147,000
        4062            18 |              73.5 |  1,084,500
        4063            17 |              56.1 |    823,500
        4064            10 |              77.6 |  1,146,000
        4065            19 |              79.3 |  1,171,500
        4066            18 |              77.7 |  1,147,500
        4067             2 |              32.6 |    471,000
        4068             7 |              31.2 |    450,000
        4069            14 |              13.8 |    189,000
        4070            19 |                72 |  1,062,000
        4071             9 |              69.9 |  1,030,500
        4072            16 |              27.7 |    397,500
        4073             7 |              80.1 |  1,183,500
        4074             8 |              19.6 |    276,000
        4075             9 |              26.2 |    375,000
        4076            10 |               3.2 |     30,000
        4077            19 |              57.6 |    846,000
        4078             3 |               4.1 |     43,500
        4079            14 |              37.1 |    538,500
        4080            17 |              32.3 |    466,500
        4081            17 |              69.8 |  1,029,000
        4082            11 |              92.9 |  1,375,500
        4083            10 |              30.3 |    436,500
        4084            17 |              16.3 |    226,500
        4085            11 |              27.1 |    388,500
        4086             2 |              50.6 |    741,000
        4087             8 |              44.1 |    643,500
        4088             2 |              95.6 |  1,416,000
        4089             5 |              50.4 |    738,000
        4090            15 |              67.4 |    993,000
        4091            17 |              49.3 |    721,500
        4092             9 |              70.1 |  1,033,500
        4093            15 |              40.9 |    595,500
        4094            12 |              56.2 |    825,000
        4095            10 |              97.7 |  1,447,500
        4096            19 |              90.6 |  1,341,000
        4097             1 |              81.7 |  1,207,500
        4098            12 |              53.5 |    784,500
        4099             6 |               3.6 |     36,000
        4100             5 |                 7 |     87,000
        4101             3 |              17.8 |    249,000
        4102             8 |              69.5 |  1,024,500
        4103            14 |                86 |  1,272,000
        4104            17 |                43 |    627,000
        4105             9 |              84.8 |  1,254,000
        4106            10 |              98.8 |  1,464,000
        4107            15 |              90.9 |  1,345,500
        4108             7 |              57.6 |    846,000
        4109            16 |              42.5 |    619,500
        4110             3 |               4.5 |     49,500
        4111             9 |              55.9 |    820,500
        4112            16 |              76.5 |  1,129,500
        4113            12 |              63.4 |    933,000
        4114             5 |               5.4 |     63,000
        4115            18 |                52 |    762,000
        4116             9 |                70 |  1,032,000
        4117             4 |              41.4 |    603,000
        4118            16 |               7.2 |     90,000
        4119            20 |              86.8 |  1,284,000
        4120             2 |              43.9 |    640,500
        4121             6 |              23.3 |    331,500
        4122            13 |              13.4 |    183,000
        4123            19 |              14.5 |    199,500
        4124            10 |              74.2 |  1,095,000
        4125             1 |              37.6 |    546,000
        4126            11 |              84.5 |  1,249,500
        4127             5 |              23.9 |    340,500
        4128             4 |              30.7 |    442,500
        4129            19 |              87.3 |  1,291,500
        4130             9 |                52 |    762,000
        4131             8 |              21.4 |    303,000
        4132             8 |              98.9 |  1,465,500
        4133            20 |              60.7 |    892,500
        4134            11 |              88.2 |  1,305,000
        4135             9 |              10.8 |    144,000
        4136             5 |              12.9 |    175,500
        4137            13 |              64.3 |    946,500
        4138            14 |              98.3 |  1,456,500
        4139            16 |              55.7 |    817,500
        4140             2 |              97.5 |  1,444,500
        4141             1 |              10.7 |    142,500
        4142             1 |              60.7 |    892,500
        4143             7 |              28.1 |    403,500
        4144            14 |              20.2 |    285,000
        4145             6 |              25.6 |    366,000
        4146             8 |              10.7 |    142,500
        4147            13 |              40.4 |    588,000
        4148             1 |               2.5 |     19,500
        4149            20 |              43.5 |    634,500
        4150            12 |              24.6 |    351,000
        4151            19 |              29.4 |    423,000
        4152             8 |              84.9 |  1,255,500
        4153            13 |              34.8 |    504,000
        4154            11 |              82.5 |  1,219,500
        4155             3 |              33.9 |    490,500
        4156             8 |              16.6 |    231,000
        4157             3 |              67.8 |    999,000
        4158            11 |              83.8 |  1,239,000
        4159            19 |              10.5 |    139,500
        4160             7 |              51.2 |    750,000
        4161            10 |              52.7 |    772,500
        4162             6 |              34.4 |    498,000
        4163             4 |              42.8 |    624,000
        4164            19 |               6.8 |     84,000
        4165            16 |              71.7 |  1,057,500
        4166             9 |              95.3 |  1,411,500
        4167            16 |                11 |    147,000
        4168             8 |              25.3 |    361,500
        4169            11 |              94.6 |  1,401,000
        4170            19 |              94.5 |  1,399,500
        4171             6 |              99.6 |  1,476,000
        4172            11 |              94.3 |  1,396,500
        4173            12 |              39.9 |    580,500
        4174            17 |              73.8 |  1,089,000
        4175            13 |              70.3 |  1,036,500
        4176             4 |               5.9 |     70,500
        4177             8 |                93 |  1,377,000
        4178            12 |              62.8 |    924,000
        4179            15 |              32.3 |    466,500
        4180             8 |               4.8 |     54,000
        4181             1 |              92.1 |  1,363,500
        4182            14 |               1.7 |     12,000
        4183             1 |              44.6 |    651,000
        4184             1 |              95.7 |  1,417,500
        4185            15 |              57.9 |    850,500
        4186            20 |              77.8 |  1,149,000
        4187            14 |              63.8 |    939,000
        4188            15 |                43 |    627,000
        4189            18 |              97.2 |  1,440,000
        4190             8 |              23.1 |    328,500
        4191             5 |              64.2 |    945,000
        4192            20 |              96.7 |  1,432,500
        4193             2 |              87.8 |  1,299,000
        4194            10 |              59.3 |    871,500
        4195            14 |              54.6 |    801,000
        4196             4 |              81.5 |  1,204,500
        4197             1 |              79.3 |  1,171,500
        4198             5 |              77.6 |  1,146,000
        4199            15 |               2.5 |     19,500
        4200            14 |              72.2 |  1,065,000
        4201            12 |              76.7 |  1,132,500
        4202             3 |              43.6 |    636,000
        4203            19 |              33.2 |    480,000
        4204             8 |              35.7 |    517,500
        4205            18 |              34.6 |    501,000
        4206            18 |              34.4 |    498,000
        4207            10 |              86.8 |  1,284,000
        4208             9 |              91.2 |  1,350,000
        4209             4 |                30 |    432,000
        4210             2 |              59.9 |    880,500
        4211            12 |              54.7 |    802,500
        4212             7 |              46.1 |    673,500
        4213            14 |              63.8 |    939,000
        4214             8 |              22.4 |    318,000
        4215             5 |              78.7 |  1,162,500
        4216            16 |              35.3 |    511,500
        4217            12 |              78.6 |  1,161,000
        4218            18 |                63 |    927,000
        4219             4 |              86.9 |  1,285,500
        4220            10 |              56.2 |    825,000
        4221             3 |              75.8 |  1,119,000
        4222            14 |              17.3 |    241,500
        4223            14 |                62 |    912,000
        4224             7 |              27.8 |    399,000
        4225            15 |              83.4 |  1,233,000
        4226             7 |                30 |    432,000
        4227             7 |              33.7 |    487,500
        4228            19 |              62.3 |    916,500
        4229             2 |              44.7 |    652,500
        4230             6 |              91.6 |  1,356,000
        4231             4 |              93.6 |  1,386,000
        4232             8 |              82.4 |  1,218,000
        4233            16 |              85.3 |  1,261,500
        4234             6 |              48.7 |    712,500
        4235            17 |              76.8 |  1,134,000
        4236             1 |              13.5 |    184,500
        4237             2 |               8.1 |    103,500
        4238             2 |              81.7 |  1,207,500
        4239            16 |              99.2 |  1,470,000
        4240             1 |              12.5 |    169,500
        4241             7 |              26.9 |    385,500
        4242             3 |               2.6 |     21,000
        4243            16 |              13.2 |    180,000
        4244            20 |              16.1 |    223,500
        4245             6 |              98.1 |  1,453,500
        4246             8 |              24.4 |    348,000
        4247            20 |              68.1 |  1,003,500
        4248             2 |              88.8 |  1,314,000
        4249             1 |               8.4 |    108,000
        4250            18 |                33 |    477,000
        4251            10 |              59.4 |    873,000
        4252            16 |              80.8 |  1,194,000
        4253            18 |              10.3 |    136,500
        4254            17 |               8.2 |    105,000
        4255            20 |              40.4 |    588,000
        4256            20 |              16.3 |    226,500
        4257            11 |               5.6 |     66,000
        4258             2 |               4.8 |     54,000
        4259            12 |              61.6 |    906,000
        4260             9 |               4.3 |     46,500
        4261             2 |              27.1 |    388,500
        4262             2 |              12.3 |    166,500
        4263            14 |              35.5 |    514,500
        4264            12 |              25.8 |    369,000
        4265            10 |                37 |    537,000
        4266            18 |              10.1 |    133,500
        4267             1 |               2.7 |     22,500
        4268            16 |              85.5 |  1,264,500
        4269             2 |              74.1 |  1,093,500
        4270             5 |              81.9 |  1,210,500
        4271            12 |              62.7 |    922,500
        4272             7 |              14.7 |    202,500
        4273            14 |              68.2 |  1,005,000
        4274             1 |              96.4 |  1,428,000
        4275             6 |              25.9 |    370,500
        4276             2 |              72.9 |  1,075,500
        4277             5 |              57.1 |    838,500
        4278             7 |              21.7 |    307,500
        4279            17 |              49.5 |    724,500
        4280            18 |              99.9 |  1,480,500
        4281            19 |              65.2 |    960,000
        4282             2 |              10.9 |    145,500
        4283            17 |              13.8 |    189,000
        4284             9 |              64.6 |    951,000
        4285             9 |              27.7 |    397,500
        4286            20 |              64.8 |    954,000
        4287             2 |              35.3 |    511,500
        4288             5 |              66.2 |    975,000
        4289             7 |              45.1 |    658,500
        4290            14 |              81.5 |  1,204,500
        4291             5 |              87.5 |  1,294,500
        4292            17 |              32.5 |    469,500
        4293             2 |              20.1 |    283,500
        4294            19 |              62.4 |    918,000
        4295            15 |              14.5 |    199,500
        4296            16 |              12.2 |    165,000
        4297             2 |              68.6 |  1,011,000
        4298             3 |              81.4 |  1,203,000
        4299            13 |              56.8 |    834,000
        4300            17 |              21.3 |    301,500
        4301            18 |                54 |    792,000
        4302            12 |              22.1 |    313,500
        4303             6 |              97.4 |  1,443,000
        4304             5 |              11.3 |    151,500
        4305            16 |              93.1 |  1,378,500
        4306             9 |              14.8 |    204,000
        4307            18 |               6.9 |     85,500
        4308             5 |              91.4 |  1,353,000
        4309            19 |              11.7 |    157,500
        4310             9 |              97.8 |  1,449,000
        4311            16 |              88.7 |  1,312,500
        4312             8 |              95.8 |  1,419,000
        4313            12 |              94.2 |  1,395,000
        4314            19 |              64.8 |    954,000
        4315            13 |              75.4 |  1,113,000
        4316            17 |                15 |    207,000
        4317            17 |                62 |    912,000
        4318            11 |              16.2 |    225,000
        4319            16 |              23.9 |    340,500
        4320             1 |                71 |  1,047,000
        4321             6 |              25.8 |    369,000
        4322            17 |              23.5 |    334,500
        4323            15 |              42.1 |    613,500
        4324            13 |                41 |    597,000
        4325            19 |              92.9 |  1,375,500
        4326            10 |              12.6 |    171,000
        4327            19 |                49 |    717,000
        4328            20 |              76.2 |  1,125,000
        4329             4 |              96.4 |  1,428,000
        4330             3 |              66.8 |    984,000
        4331            12 |               9.3 |    121,500
        4332             7 |              64.4 |    948,000
        4333            15 |              48.3 |    706,500
        4334            16 |              48.8 |    714,000
        4335            10 |              83.4 |  1,233,000
        4336             4 |               2.3 |     16,500
        4337            17 |              22.2 |    315,000
        4338             2 |              56.6 |    831,000
        4339            14 |              99.6 |  1,476,000
        4340            19 |              68.6 |  1,011,000
        4341            19 |              99.9 |  1,480,500
        4342            12 |              93.8 |  1,389,000
        4343             2 |                53 |    777,000
        4344             9 |              90.5 |  1,339,500
        4345             1 |              95.5 |  1,414,500
        4346             5 |               1.1 |     12,000
        4347             4 |               7.7 |     97,500
        4348            18 |               8.8 |    114,000
        4349             5 |              16.1 |    223,500
        4350            15 |              78.1 |  1,153,500
        4351             5 |              52.8 |    774,000
        4352             5 |              63.8 |    939,000
        4353            10 |                38 |    552,000
        4354            16 |              75.3 |  1,111,500
        4355             3 |              16.3 |    226,500
        4356             1 |              15.4 |    213,000
        4357             3 |               2.1 |     13,500
        4358            11 |               6.6 |     81,000
        4359            13 |                56 |    822,000
        4360            12 |              78.5 |  1,159,500
        4361            14 |              71.4 |  1,053,000
        4362             1 |              17.5 |    244,500
        4363            19 |              45.8 |    669,000
        4364             2 |              36.1 |    523,500
        4365             6 |              45.4 |    663,000
        4366             2 |              73.2 |  1,080,000
        4367            11 |              83.9 |  1,240,500
        4368             2 |                65 |    957,000
        4369            20 |              11.6 |    156,000
        4370             8 |              41.1 |    598,500
        4371            19 |              65.2 |    960,000
        4372             2 |              97.2 |  1,440,000
        4373            16 |              49.3 |    721,500
        4374             7 |               5.2 |     60,000
        4375            17 |              42.8 |    624,000
        4376            12 |              35.9 |    520,500
        4377             1 |              93.4 |  1,383,000
        4378            11 |              50.4 |    738,000
        4379            12 |                33 |    477,000
        4380            16 |              52.9 |    775,500
        4381            12 |              45.9 |    670,500
        4382             8 |              67.6 |    996,000
        4383             6 |              56.2 |    825,000
        4384            19 |              69.3 |  1,021,500
        4385            18 |              99.8 |  1,479,000
        4386             7 |                15 |    207,000
        4387            16 |                25 |    357,000
        4388            10 |                54 |    792,000
        4389            15 |               7.9 |    100,500
        4390            15 |              57.9 |    850,500
        4391            15 |              30.2 |    435,000
        4392             9 |              79.1 |  1,168,500
        4393            12 |              31.4 |    453,000
        4394            14 |                74 |  1,092,000
        4395            18 |                 5 |     57,000
        4396             4 |               5.6 |     66,000
        4397            15 |              82.3 |  1,216,500
        4398            12 |              19.2 |    270,000
        4399             7 |              21.6 |    306,000
        4400            13 |              28.9 |    415,500
        4401            18 |                57 |    837,000
        4402             2 |              32.1 |    463,500
        4403             5 |              80.8 |  1,194,000
        4404            18 |              81.7 |  1,207,500
        4405             4 |              91.2 |  1,350,000
        4406            20 |              86.9 |  1,285,500
        4407             4 |              35.6 |    516,000
        4408            15 |              97.3 |  1,441,500
        4409             9 |              33.3 |    481,500
        4410            11 |              71.2 |  1,050,000
        4411             3 |              94.1 |  1,393,500
        4412            17 |              12.3 |    166,500
        4413            12 |              49.9 |    730,500
        4414             7 |                16 |    222,000
        4415            13 |              79.6 |  1,176,000
        4416            18 |              53.8 |    789,000
        4417            10 |              29.3 |    421,500
        4418            16 |                22 |    312,000
        4419             6 |              91.8 |  1,359,000
        4420            20 |              76.8 |  1,134,000
        4421             4 |              44.4 |    648,000
        4422             9 |               4.4 |     48,000
        4423             3 |              23.8 |    339,000
        4424            11 |              83.3 |  1,231,500
        4425             6 |                12 |    162,000
        4426             5 |              37.7 |    547,500
        4427            18 |              52.1 |    763,500
        4428            18 |              59.6 |    876,000
        4429            15 |               1.6 |     12,000
        4430            20 |              38.3 |    556,500
        4431             1 |              98.2 |  1,455,000
        4432            20 |              79.6 |  1,176,000
        4433            12 |              19.3 |    271,500
        4434             2 |                 9 |    117,000
        4435            12 |              93.1 |  1,378,500
        4436            12 |              17.9 |    250,500
        4437            13 |              73.2 |  1,080,000
        4438            16 |              19.2 |    270,000
        4439             5 |              43.7 |    637,500
        4440            17 |                12 |    162,000
        4441            10 |              51.7 |    757,500
        4442             6 |              36.4 |    528,000
        4443            12 |              46.4 |    678,000
        4444            17 |              78.5 |  1,159,500
        4445             3 |                93 |  1,377,000
        4446            16 |               5.6 |     66,000
        4447             4 |                90 |  1,332,000
        4448            17 |              38.3 |    556,500
        4449             4 |              40.6 |    591,000
        4450            12 |                78 |  1,152,000
        4451            17 |              98.5 |  1,459,500
        4452            15 |              39.8 |    579,000
        4453             7 |              36.8 |    534,000
        4454             6 |              14.6 |    201,000
        4455            11 |              16.9 |    235,500
        4456            11 |                72 |  1,062,000
        4457            16 |              66.1 |    973,500
        4458             2 |              73.8 |  1,089,000
        4459            20 |              14.6 |    201,000
        4460             6 |              13.7 |    187,500
        4461            11 |              50.6 |    741,000
        4462            14 |              90.7 |  1,342,500
        4463            10 |              52.9 |    775,500
        4464            15 |              96.3 |  1,426,500
        4465            15 |              63.2 |    930,000
        4466             3 |              32.9 |    475,500
        4467            10 |              39.4 |    573,000
        4468             5 |                37 |    537,000
        4469            10 |              48.1 |    703,500
        4470            20 |              11.5 |    154,500
        4471             4 |              81.4 |  1,203,000
        4472             2 |              87.1 |  1,288,500
        4473            19 |              53.5 |    784,500
        4474             6 |              50.2 |    735,000
        4475            20 |              12.4 |    168,000
        4476            11 |                53 |    777,000
        4477             5 |              63.4 |    933,000
        4478            20 |              25.3 |    361,500
        4479             1 |              45.2 |    660,000
        4480            16 |              57.3 |    841,500
        4481            19 |                21 |    297,000
        4482            10 |              65.3 |    961,500
        4483            18 |              92.1 |  1,363,500
        4484            17 |              45.6 |    666,000
        4485            10 |              97.9 |  1,450,500
        4486            13 |              60.5 |    889,500
        4487             6 |              47.5 |    694,500
        4488             8 |              79.4 |  1,173,000
        4489            13 |              19.6 |    276,000
        4490             4 |              36.3 |    526,500
        4491             3 |                91 |  1,347,000
        4492            11 |              72.8 |  1,074,000
        4493             1 |                77 |  1,137,000
        4494            20 |              77.6 |  1,146,000
        4495             5 |               4.2 |     45,000
        4496            18 |              68.2 |  1,005,000
        4497             8 |              43.1 |    628,500
        4498            15 |              58.9 |    865,500
        4499            19 |              23.4 |    333,000
        4500            12 |                81 |  1,197,000
        4501            16 |                14 |    192,000
        4502             8 |              14.5 |    199,500
        4503            18 |              67.7 |    997,500
        4504            18 |              76.5 |  1,129,500
        4505             8 |              59.4 |    873,000
        4506             2 |               9.9 |    130,500
        4507            14 |               2.8 |     24,000
        4508            19 |               5.1 |     58,500
        4509            13 |               9.5 |    124,500
        4510            18 |              51.4 |    753,000
        4511            18 |              70.8 |  1,044,000
        4512             9 |                13 |    177,000
        4513            10 |              26.7 |    382,500
        4514            12 |              15.5 |    214,500
        4515            19 |              84.9 |  1,255,500
        4516             6 |              55.4 |    813,000
        4517            18 |                88 |  1,302,000
        4518            20 |              49.4 |    723,000
        4519            18 |              17.9 |    250,500
        4520             4 |              26.2 |    375,000
        4521            11 |                61 |    897,000
        4522            11 |              72.4 |  1,068,000
        4523             1 |              63.2 |    930,000
        4524             5 |              55.1 |    808,500
        4525             8 |              85.1 |  1,258,500
        4526             2 |              42.7 |    622,500
        4527            14 |              31.8 |    459,000
        4528             4 |              58.5 |    859,500
        4529            14 |              33.6 |    486,000
        4530            12 |              15.1 |    208,500
        4531             3 |                79 |  1,167,000
        4532             8 |              72.5 |  1,069,500
        4533            20 |              76.4 |  1,128,000
        4534             2 |              37.3 |    541,500
        4535             5 |              76.4 |  1,128,000
        4536             2 |              93.2 |  1,380,000
        4537            18 |              80.8 |  1,194,000
        4538             8 |               5.7 |     67,500
        4539             9 |              25.4 |    363,000
        4540             1 |              31.5 |    454,500
        4541            10 |              65.1 |    958,500
        4542             1 |              35.2 |    510,000
        4543             6 |              12.2 |    165,000
        4544            11 |              39.3 |    571,500
        4545            12 |               1.9 |     12,000
        4546             7 |              36.8 |    534,000
        4547            16 |              76.3 |  1,126,500
        4548            12 |              85.1 |  1,258,500
        4549             8 |              26.4 |    378,000
        4550            14 |              47.4 |    693,000
        4551             9 |              53.4 |    783,000
        4552            10 |              30.1 |    433,500
        4553             5 |              70.5 |  1,039,500
        4554            14 |              68.3 |  1,006,500
        4555            13 |              53.4 |    783,000
        4556             5 |              98.9 |  1,465,500
        4557            19 |              25.1 |    358,500
        4558             3 |              52.2 |    765,000
        4559            15 |              37.7 |    547,500
        4560             9 |              71.1 |  1,048,500
        4561            17 |              58.1 |    853,500
        4562             9 |              80.7 |  1,192,500
        4563            12 |              40.8 |    594,000
        4564            16 |              47.6 |    696,000
        4565             7 |              62.4 |    918,000
        4566             8 |              20.5 |    289,500
        4567            14 |              98.8 |  1,464,000
        4568             4 |              93.2 |  1,380,000
        4569             4 |                29 |    417,000
        4570             6 |              36.7 |    532,500
        4571             4 |               6.3 |     76,500
        4572             7 |              22.9 |    325,500
        4573            15 |              80.2 |  1,185,000
        4574             7 |              21.5 |    304,500
        4575            12 |              25.4 |    363,000
        4576             9 |              75.1 |  1,108,500
        4577            12 |              32.1 |    463,500
        4578            18 |              12.9 |    175,500
        4579             6 |              52.4 |    768,000
        4580            11 |              50.9 |    745,500
        4581            10 |               7.6 |     96,000
        4582             1 |              13.1 |    178,500
        4583            11 |               5.7 |     67,500
        4584             5 |              66.6 |    981,000
        4585             8 |              31.3 |    451,500
        4586             1 |              99.1 |  1,468,500
        4587             4 |              57.7 |    847,500
        4588             8 |                44 |    642,000
        4589            11 |              49.9 |    730,500
        4590            14 |              30.8 |    444,000
        4591             4 |               9.5 |    124,500
        4592            18 |              69.2 |  1,020,000
        4593            20 |              81.7 |  1,207,500
        4594             9 |              52.2 |    765,000
        4595            16 |              98.8 |  1,464,000
        4596             5 |              35.8 |    519,000
        4597            16 |              90.2 |  1,335,000
        4598             4 |               5.3 |     61,500
        4599            10 |              66.4 |    978,000
        4600             7 |              67.1 |    988,500
        4601             4 |              92.5 |  1,369,500
        4602            13 |              21.3 |    301,500
        4603            16 |              27.2 |    390,000
        4604             6 |              69.4 |  1,023,000
        4605             9 |               6.1 |     73,500
        4606            16 |              70.7 |  1,042,500
        4607             6 |              96.4 |  1,428,000
        4608             7 |              74.6 |  1,101,000
        4609            13 |              85.7 |  1,267,500
        4610            17 |               7.2 |     90,000
        4611            14 |              77.3 |  1,141,500
        4612             1 |              85.1 |  1,258,500
        4613             5 |              59.1 |    868,500
        4614            10 |              38.1 |    553,500
        4615             3 |              41.4 |    603,000
        4616            11 |              73.3 |  1,081,500
        4617             8 |              25.4 |    363,000
        4618             7 |              71.5 |  1,054,500
        4619            18 |              19.4 |    273,000
        4620            10 |              99.1 |  1,468,500
        4621             6 |              66.9 |    985,500
        4622            18 |              16.4 |    228,000
        4623             2 |              42.9 |    625,500
        4624             2 |              57.1 |    838,500
        4625            11 |               6.1 |     73,500
        4626             9 |              60.7 |    892,500
        4627             2 |              48.4 |    708,000
        4628            20 |              10.8 |    144,000
        4629            16 |              34.5 |    499,500
        4630            13 |              54.6 |    801,000
        4631             1 |              72.3 |  1,066,500
        4632             2 |               7.2 |     90,000
        4633             3 |              78.4 |  1,158,000
        4634             1 |              31.8 |    459,000
        4635            10 |              11.2 |    150,000
        4636            17 |              74.4 |  1,098,000
        4637             5 |              31.9 |    460,500
        4638             8 |                98 |  1,452,000
        4639            16 |               8.9 |    115,500
        4640            12 |              83.9 |  1,240,500
        4641            14 |              20.4 |    288,000
        4642             4 |              96.4 |  1,428,000
        4643            20 |              69.2 |  1,020,000
        4644            12 |              53.3 |    781,500
        4645            12 |              33.3 |    481,500
        4646             8 |              75.4 |  1,113,000
        4647             8 |              43.1 |    628,500
        4648             6 |              89.2 |  1,320,000
        4649             1 |              22.2 |    315,000
        4650            10 |              85.4 |  1,263,000
        4651            13 |              96.6 |  1,431,000
        4652             6 |              31.4 |    453,000
        4653             5 |              45.6 |    666,000
        4654            13 |              19.1 |    268,500
        4655            13 |              51.3 |    751,500
        4656             4 |                37 |    537,000
        4657             8 |              80.3 |  1,186,500
        4658             9 |              82.5 |  1,219,500
        4659             6 |              77.9 |  1,150,500
        4660             7 |              12.9 |    175,500
        4661            17 |              99.8 |  1,479,000
        4662             9 |               9.8 |    129,000
        4663             6 |              12.1 |    163,500
        4664             1 |              21.2 |    300,000
        4665            10 |              57.2 |    840,000
        4666            12 |              32.5 |    469,500
        4667            18 |              88.2 |  1,305,000
        4668             8 |              90.1 |  1,333,500
        4669             9 |              64.7 |    952,500
        4670            19 |              95.2 |  1,410,000
        4671            14 |              88.6 |  1,311,000
        4672            16 |              41.8 |    609,000
        4673            15 |              96.3 |  1,426,500
        4674            18 |              17.7 |    247,500
        4675            20 |              35.3 |    511,500
        4676            10 |               8.7 |    112,500
        4677             9 |              74.4 |  1,098,000
        4678            16 |              18.2 |    255,000
        4679             7 |              65.8 |    969,000
        4680             3 |              26.8 |    384,000
        4681            11 |               6.8 |     84,000
        4682             2 |              43.2 |    630,000
        4683             4 |              20.5 |    289,500
        4684            17 |              71.3 |  1,051,500
        4685            13 |              92.7 |  1,372,500
        4686            18 |              77.1 |  1,138,500
        4687             3 |              65.7 |    967,500
        4688             5 |              51.2 |    750,000
        4689            15 |              25.9 |    370,500
        4690            12 |                80 |  1,182,000
        4691             6 |               7.3 |     91,500
        4692            13 |              71.4 |  1,053,000
        4693             3 |              55.6 |    816,000
        4694             4 |              31.5 |    454,500
        4695            15 |              53.6 |    786,000
        4696             2 |              52.1 |    763,500
        4697            20 |                97 |  1,437,000
        4698             5 |              74.8 |  1,104,000
        4699            18 |              93.6 |  1,386,000
        4700            10 |              41.5 |    604,500
        4701            16 |              79.6 |  1,176,000
        4702             5 |              77.2 |  1,140,000
        4703             6 |               1.3 |     12,000
        4704            16 |              14.2 |    195,000
        4705             3 |              35.4 |    513,000
        4706             8 |              68.5 |  1,009,500
        4707             5 |              50.8 |    744,000
        4708            16 |              27.5 |    394,500
        4709             6 |               4.7 |     52,500
